PluginKitVisual	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugin_kit_visuals_plugin.dart	194
PluginKitVisualsPlugin	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugin_kit_visuals_plugin.dart	38
PluginLifecycleException	class	packages/plugin_kit/lib/src/plugin/exceptions.dart	67
PluginNamespaced	class	packages/plugin_kit/lib/src/typed_handles.dart	78
PluginRuntime	class	packages/plugin_kit/lib/src/plugin/runtime.dart	59
PluginRuntimeScope	class	packages/flutter_plugin_kit/lib/src/runtime_scope.dart	23
PluginSection	class	packages/plugin_kit_dialog/lib/src/widgets/plugins/plugin_section.dart	10
PluginService	class	packages/plugin_kit/lib/src/plugin/service.dart	27
PluginSession	class	packages/plugin_kit/lib/src/plugin/runtime.dart	1167
PluginSessionEvents	class	packages/flutter_plugin_kit/lib/src/session_events.dart	11
PluginSessionListener	mixin	packages/plugin_kit/lib/src/session_listener.dart	30
PluginSessionListenerChatScreen	class	example/state_garden/lib/src/integrations/plugin_kit_session_listener_chat.dart	62
PluginSessionScope	class	packages/flutter_plugin_kit/lib/src/session_scope.dart	30
PluginSessionStateListener	mixin	packages/flutter_plugin_kit/lib/src/session_listener.dart	56
PluginStatCard	class	packages/plugin_kit_dialog/lib/src/widgets/plugins/plugin_stat_card.dart	7
PluginStepAggregateException	class	packages/plugin_kit/lib/src/plugin/exceptions.dart	105
PluginsTab	class	packages/plugin_kit_dialog/lib/src/widgets/tabs/plugins_tab.dart	13
PluginsTabPlugin	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugins_tab_plugin.dart	11
PriorityBadge	class	packages/plugin_kit_dialog/lib/src/widgets/services/priority_badge.dart	7
RegistrationWrapper	class	packages/plugin_kit/lib/src/service_registry.dart	30
RequestHandler	typedef	packages/plugin_kit/lib/src/event_bus.dart	83
RequestUnavailableException	class	packages/plugin_kit/lib/src/plugin/exceptions.dart	23
ResearchAgentPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/research_agent_plugin.dart	7
ResetButton	class	packages/plugin_kit_dialog/lib/src/widgets/shared/reset_button.dart	4
RiverpodChatScreen	class	example/state_garden/lib/src/integrations/riverpod_chat.dart	71
RunnerPlugin	class	example/code_editor/lib/app/plugins/runner_plugin.dart	184
RuntimeHolder	class	example/state_garden/lib/src/runtime_holder.dart	13
RuntimeSettings	class	packages/plugin_kit/lib/src/settings.dart	189
SaveCallback	typedef	packages/plugin_kit_dialog/lib/src/utils.dart	9
ScopedServiceRegistry	class	packages/plugin_kit/lib/src/service_registry.dart	982
